symbol,direction,entry_time,exit_time,entry_price,exit_price,size,original_size,contract_multiplier,score,pnl,pnl_pct,bars_held,reason_exit,reason_entry,partial_exit
RB0,short,2014-09-22,2014-10-08,2693.5,2465.5,1,2,10,95,2274.0,0.084648,8,partial_exit_1R5,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 50.16, 'bb_width': 0.1213, 'vol_ratio': 1.6, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 2834.0, 'latest_swing_low': 2725.0, 'trigger_level': 2725.0, 'structure_stop_loss': 2847.3071}",True
RB0,short,2014-09-22,2014-10-09,2693.5,2564.8929,1,2,10,95,1280.07,0.047747,9,stop_loss,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 50.16, 'bb_width': 0.1213, 'vol_ratio': 1.6, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 2834.0, 'latest_swing_low': 2725.0, 'trigger_level': 2725.0, 'structure_stop_loss': 2847.3071}",False
V0,short,2014-10-13,2014-10-24,5644.5,5697.0,3,3,5,95,-805.5,-0.009301,10,stop_loss,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 28.62, 'bb_width': 0.0749, 'vol_ratio': 2.75, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 5870.0, 'latest_swing_low': 5660.0, 'trigger_level': 5660.0, 'structure_stop_loss': 5893.5714}",False
PP0,short,2014-10-13,2014-11-06,9659.5,9740.5,1,1,5,95,-411.0,-0.008386,18,dow_trend_reversal,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 33.62, 'bb_width': 0.0897, 'vol_ratio': 1.64, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 10479.0, 'latest_swing_low': 9897.0, 'trigger_level': 9897.0, 'structure_stop_loss': 10531.1786}",False
FG0,short,2015-09-01,2015-10-22,839.5,868.5,2,2,20,95,-1172.0,-0.034544,30,time_stop,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 25.03, 'bb_width': 0.0831, 'vol_ratio': 1.64, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 903.0, 'latest_swing_low': 851.0, 'trigger_level': 851.0, 'structure_stop_loss': 909.3643}",False
V0,short,2015-11-20,2015-11-25,4494.5,4671.5,3,3,5,95,-2673.0,-0.039381,4,stop_loss,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 37.14, 'bb_width': 0.0754, 'vol_ratio': 1.75, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 4650.0, 'latest_swing_low': 4540.0, 'trigger_level': 4540.0, 'structure_stop_loss': 4669.5}",False
RB0,short,2015-12-01,2015-12-21,1627.5,1740.15,4,4,10,95,-4530.0,-0.069217,15,stop_loss,"{'signal_type': 'short_123', 'dow_state': 'BEAR_CONFIRMED', 'pure_state': 'BEAR_TREND', 'adx': 42.35, 'bb_width': 0.1288, 'vol_ratio': 1.56, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': False, 'higher_low': False, 'lower_high': True, 'lower_low': True, 'latest_swing_high': 1729.0, 'latest_swing_low': 1649.0, 'trigger_level': 1649.0, 'structure_stop_loss': 1738.15}",False
V0,long,2016-03-18,2016-03-28,5500.5,5097.7857,2,2,5,95,-4039.14,-0.073214,7,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 35.13, 'bb_width': 0.0764, 'vol_ratio': 1.83, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 5420.0, 'latest_swing_low': 5130.0, 'trigger_level': 5420.0, 'structure_stop_loss': 5099.7857}",False
MA0,long,2016-03-10,2016-04-22,1965.5,1994.5,2,2,10,95,568.0,0.014755,30,time_stop,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 23.48, 'bb_width': 0.0979, 'vol_ratio': 2.75, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 1896.0, 'latest_swing_low': 1775.0, 'trigger_level': 1896.0, 'structure_stop_loss': 1758.3286}",False
TA0,long,2016-04-22,2016-05-03,5100.5,4704.0,2,2,5,95,-3977.0,-0.077737,7,stop_loss,"{'signal_type': 'long_123', 'dow_state': 'BULL_CONFIRMED', 'pure_state': 'BULL_TREND', 'adx': 30.55, 'bb_width': 0.1025, 'vol_ratio': 1.83, 'vol_ok': True, 'body_ok': True, 'env_ok': True, 'higher_high': True, 'higher_low': True, 'lower_high': False, 'lower_low': False, 'latest_swing_high': 4990.0, 'latest_swing_low': 4750.0, 'trigger_level': 4990.0, 'structure_stop_loss': 4714.4286}",False
